File ,Date/time ,PH,ROI Ch,H/V,R10-90,R10-90C,Over-,Over-,MTF50,MTF50P,MTF,Camera,Lens,FL,f-stop,Location,ISO,Misc.,Gamma, ,Chr Aber,Secondary,,Secondary,,EdgeRough,Shutter,Edge,Dark,Light,Under-
,,,,,/PH,/PH,shoot %,sharpng %,LW/PH,LW/PH,Nyq,,,(mm),,,speed,settings,, ,area pxls,Readout 1,,Readout 2,,Pxls,Speed,Angle,region,region,shoot %
imatest_noise0.0_blur0.0.png,2022-06-20 23:43:55,  450,1 Y,Horiz (V-edge),  503,  NaN,  0.0, -3.4,  543,  543,0.636,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.75664,,,, ,  4.909, 0.3882, 0.7294,  0.0
imatest_noise0.1_blur0.0.png,2022-06-20 23:43:57,  450,1 Y,Horiz (V-edge),  507,  NaN,  1.2, -3.9,  547,  547,0.643,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.02,MTF30,0.75601,,,, ,  5.003, 0.3925, 0.7299,  0.7
imatest_noise0.2_blur0.0.png,2022-06-20 23:43:58,  450,1 Y,Horiz (V-edge),  492,  NaN,  2.3, -1.7,  574,  574,0.639,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.06,MTF30,0.75472,,,, ,  5.183, 0.3952, 0.7312,  1.1
imatest_noise0.3_blur0.0.png,2022-06-20 23:43:58,  450,1 Y,Horiz (V-edge),  493,  NaN,  5.7,  1.6,  569,  554,0.590,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.05,MTF30,0.76935,,,, ,  4.847, 0.3993, 0.7336,  3.3
imatest_noise0.4_blur0.0.png,2022-06-20 23:43:59,  450,1 Y,Horiz (V-edge),  496,  NaN,  5.3, -0.3,  475,  474,0.540,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.18,MTF30,0.81753,,,, ,  4.779, 0.4101, 0.7362,  4.9
imatest_noise0.5_blur0.0.png,2022-06-20 23:44:00,  450,1 Y,Horiz (V-edge),  472,  NaN, 14.7,  4.6,  472,  468,0.664,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.08,MTF30,0.56418,,,, ,  5.133, 0.4174, 0.7384,  5.2
imatest_noise0.6_blur0.0.png,2022-06-20 23:44:00,  450,1 Y,Horiz (V-edge),  488,  NaN, 13.4,  4.2,  479,  469,0.642,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.41,MTF30,0.60236,,,, ,  5.314, 0.4281, 0.7410,  7.5
imatest_noise0.7_blur0.0.png,2022-06-20 23:44:01,  450,1 Y,Horiz (V-edge),  448,  NaN, 16.8, 11.0,  433,  420,0.381,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.86,MTF30,0.518,,,, ,  4.611, 0.4349, 0.7450, 10.5
imatest_noise0.8_blur0.0.png,2022-06-20 23:44:01,  450,1 Y,Horiz (V-edge),  418,  NaN, 10.3, 25.2,  461,  430,0.556,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.86,MTF30,0.6293,,,, ,  4.244, 0.4459, 0.7514, 12.4
imatest_noise0.9_blur0.0.png,2022-06-20 23:44:02,  450,1 Y,Horiz (V-edge),  423,  NaN, 18.1,-10.7,  509,  286,0.673,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.79,MTF30,0.71367,,,, ,  1.799, 0.4584, 0.7538, 13.3
imatest_noise1.0_blur0.0.png,2022-06-20 23:44:02,  450,1 Y,Horiz (V-edge),  390,  NaN, 45.0,-20.5,  246,  476,1.141,,, , ,6.7% left of ctr, ,,0.500,  NaN, 2.79,MTF30,0.31175,,,, ,  3.013, 0.4781, 0.7605, 24.4
imatest_noise0.0_blur0.5.png,2022-06-20 23:44:03,  450,1 Y,Horiz (V-edge),  273,  NaN,  0.0,-15.1,  282,  282,0.249,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.4402,,,, ,  4.673, 0.3882, 0.7294, -0.0
imatest_noise0.1_blur0.5.png,2022-06-20 23:44:03,  450,1 Y,Horiz (V-edge),  273,  NaN,  1.5,-15.7,  281,  281,0.231,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.04,MTF30,0.43049,,,, ,  4.567, 0.3922, 0.7295,  1.1
