File ,Date/time ,ROI Ch,H/V,R1090,R1090_C,Over-,Over-,MTF50,MTF50P,MTF,Camera,Lens,FL,f-stop,Location,ISO,Misc.,Gamma, ,Chr Aber,Secondary,,Secondary,,EdgeRough,Shutter,Edge,Dark,Light,Under-
,,,,Pixels,Pixels,shoot %,sharpng %,Cy/Pxl,Cy/Pxl,Nyq,,,(mm),,Pxls,speed,settings,, ,area pxls,Readout 1,,Readout 2,,Pxls,Speed,Angle,region,region,shoot %
imatest_noise0.0_blur0.0.png,2022-06-20 23:43:55,1 Y,Horiz (V-edge), 0.89,  NaN,  0.0, -3.4,0.6034,0.6034,0.6359,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.75664,,,, ,  4.909, 0.3882, 0.7294,  0.0
imatest_noise0.1_blur0.0.png,2022-06-20 23:43:57,1 Y,Horiz (V-edge), 0.89,  NaN,  1.2, -3.9,0.6075,0.6075,0.6428,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.02,MTF30,0.75601,,,, ,  5.003, 0.3925, 0.7299,  0.7
imatest_noise0.2_blur0.0.png,2022-06-20 23:43:58,1 Y,Horiz (V-edge), 0.91,  NaN,  2.3, -1.7,0.6375,0.6375,0.6394,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.06,MTF30,0.75472,,,, ,  5.183, 0.3952, 0.7312,  1.1
imatest_noise0.3_blur0.0.png,2022-06-20 23:43:58,1 Y,Horiz (V-edge), 0.91,  NaN,  5.7,  1.6,0.6325,0.6152,0.5896,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.05,MTF30,0.76935,,,, ,  4.847, 0.3993, 0.7336,  3.3
imatest_noise0.4_blur0.0.png,2022-06-20 23:43:59,1 Y,Horiz (V-edge), 0.91,  NaN,  5.3, -0.3,0.5281,0.5261,0.5405,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.18,MTF30,0.81753,,,, ,  4.779, 0.4101, 0.7362,  4.9
imatest_noise0.5_blur0.0.png,2022-06-20 23:44:00,1 Y,Horiz (V-edge), 0.95,  NaN, 14.7,  4.6,0.5250,0.5205,0.6645,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.08,MTF30,0.56418,,,, ,  5.133, 0.4174, 0.7384,  5.2
imatest_noise0.6_blur0.0.png,2022-06-20 23:44:00,1 Y,Horiz (V-edge), 0.92,  NaN, 13.4,  4.2,0.5325,0.5208,0.6420,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.41,MTF30,0.60236,,,, ,  5.314, 0.4281, 0.7410,  7.5
imatest_noise0.7_blur0.0.png,2022-06-20 23:44:01,1 Y,Horiz (V-edge), 1.01,  NaN, 16.8, 11.0,0.4811,0.4670,0.3814,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.86,MTF30,0.518,,,, ,  4.611, 0.4349, 0.7450, 10.5
imatest_noise0.8_blur0.0.png,2022-06-20 23:44:01,1 Y,Horiz (V-edge), 1.08,  NaN, 10.3, 25.2,0.5125,0.4783,0.5563,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.86,MTF30,0.6293,,,, ,  4.244, 0.4459, 0.7514, 12.4
imatest_noise0.9_blur0.0.png,2022-06-20 23:44:02,1 Y,Horiz (V-edge), 1.06,  NaN, 18.1,-10.7,0.5651,0.3182,0.6733,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.79,MTF30,0.71367,,,, ,  1.799, 0.4584, 0.7538, 13.3
imatest_noise1.0_blur0.0.png,2022-06-20 23:44:02,1 Y,Horiz (V-edge), 1.15,  NaN, 45.0,-20.5,0.2728,0.5289,1.1410,,, , ,6.7% left of ctr, ,,0.500,  NaN, 2.79,MTF30,0.31175,,,, ,  3.013, 0.4781, 0.7605, 24.4
imatest_noise0.0_blur0.5.png,2022-06-20 23:44:03,1 Y,Horiz (V-edge), 1.65,  NaN,  0.0,-15.1,0.3139,0.3139,0.2488,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.4402,,,, ,  4.673, 0.3882, 0.7294, -0.0
imatest_noise0.1_blur0.5.png,2022-06-20 23:44:03,1 Y,Horiz (V-edge), 1.65,  NaN,  1.5,-15.7,0.3124,0.3124,0.2315,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.04,MTF30,0.43049,,,, ,  4.567, 0.3922, 0.7295,  1.1
imatest_noise0.2_blur0.5.png,2022-06-20 23:44:04,1 Y,Horiz (V-edge), 1.61,  NaN,  2.5,-17.0,0.3295,0.3295,0.2786,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.09,MTF30,0.47957,,,, ,  4.816, 0.3962, 0.7321,  1.5
imatest_noise0.3_blur0.5.png,2022-06-20 23:44:05,1 Y,Horiz (V-edge), 1.61,  NaN,  4.2,-18.4,0.3168,0.3168,0.1968,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.14,MTF30,0.45977,,,, ,  4.729, 0.4026, 0.7338,  2.5
imatest_noise0.4_blur0.5.png,2022-06-20 23:44:05,1 Y,Horiz (V-edge), 1.49,  NaN,  4.1,-14.9,0.3186,0.3186,0.3195,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.26,MTF30,0.50811,,,, ,  4.791, 0.4119, 0.7376,  5.2
imatest_noise0.5_blur0.5.png,2022-06-20 23:44:06,1 Y,Horiz (V-edge), 1.68,  NaN,  8.2,-17.9,0.3418,0.3418,0.2763,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.34,MTF30,0.48698,,,, ,  4.386, 0.4169, 0.7398,  5.4
imatest_noise0.6_blur0.5.png,2022-06-20 23:44:06,1 Y,Horiz (V-edge), 1.69,  NaN, 13.0,  2.5,0.4047,0.3817,0.3409,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.64,MTF30,0.53474,,,, ,  4.467, 0.4294, 0.7459,  8.5
imatest_noise0.7_blur0.5.png,2022-06-20 23:44:07,1 Y,Horiz (V-edge), 1.40,  NaN, 17.5,  5.6,0.3647,0.3545,0.3492,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.73,MTF30,0.54721,,,, ,  4.174, 0.4451, 0.7473, 18.6
imatest_noise0.8_blur0.5.png,2022-06-20 23:44:07,1 Y,Horiz (V-edge), 1.64,  NaN, 26.5, 25.8,0.3978,0.3444,0.4641,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.50,MTF30,1.0135,,,, ,  4.679, 0.4554, 0.7531,  7.9
imatest_noise0.9_blur0.5.png,2022-06-20 23:44:08,1 Y,Horiz (V-edge), 1.47,  NaN, 30.3, -7.6,0.3248,0.3248,0.0234,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.49,MTF30,0.35798,,,, ,  5.233, 0.4669, 0.7581, 12.2
imatest_noise1.0_blur0.5.png,2022-06-20 23:44:08,1 Y,Horiz (V-edge), 1.32,  NaN, 32.1,-11.2,0.2958,0.2958,0.2685,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.63,MTF30,0.31334,,,, ,  4.990, 0.4745, 0.7638, 10.9
imatest_noise0.0_blur1.0.png,2022-06-20 23:44:09,1 Y,Horiz (V-edge), 2.73,  NaN,  0.0,-22.1,0.1821,0.1821,0.0120,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.24045,,,, ,  4.505, 0.3882, 0.7294,  0.0
imatest_noise0.1_blur1.0.png,2022-06-20 23:44:09,1 Y,Horiz (V-edge), 2.68,  NaN,  0.8,-22.3,0.1844,0.1844,0.0334,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.06,MTF30,0.23925,,,, ,  4.698, 0.3927, 0.7306,  0.8
imatest_noise0.2_blur1.0.png,2022-06-20 23:44:10,1 Y,Horiz (V-edge), 2.66,  NaN,  2.1,-21.9,0.1854,0.1854,0.0839,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.10,MTF30,0.24216,,,, ,  4.336, 0.3980, 0.7328,  1.8
imatest_noise0.3_blur1.0.png,2022-06-20 23:44:10,1 Y,Horiz (V-edge), 2.74,  NaN,  4.6,-23.7,0.1774,0.1774,0.0344,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.08,MTF30,0.25231,,,, ,  4.685, 0.4025, 0.7348,  2.4
imatest_noise0.4_blur1.0.png,2022-06-20 23:44:11,1 Y,Horiz (V-edge), 2.72,  NaN,  6.5,-24.4,0.1959,0.1959,0.1173,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.28,MTF30,0.27832,,,, ,  4.673, 0.4111, 0.7365,  4.7
imatest_noise0.5_blur1.0.png,2022-06-20 23:44:11,1 Y,Horiz (V-edge), 2.78,  NaN,  8.1,-17.5,0.1779,0.1779,0.1771,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.32,MTF30,0.30502,,,, ,  4.554, 0.4187, 0.7396,  6.4
imatest_noise0.6_blur1.0.png,2022-06-20 23:44:12,1 Y,Horiz (V-edge), 2.67,  NaN,  4.4,-25.4,0.1803,0.1803,0.0742,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.19,MTF30,0.23261,,,, ,  4.112, 0.4295, 0.7409,  8.1
imatest_noise0.7_blur1.0.png,2022-06-20 23:44:12,1 Y,Horiz (V-edge), 2.04,  NaN,  8.9,-23.2,0.1944,0.1944,0.2194,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.22,MTF30,0.30942,,,, ,  4.087, 0.4441, 0.7434, 15.9
imatest_noise0.8_blur1.0.png,2022-06-20 23:44:13,1 Y,Horiz (V-edge), 2.44,  NaN, 10.8,-24.1,0.2028,0.2028,0.0582,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.29,MTF30,0.38957,,,, ,  3.756, 0.4641, 0.7494, 19.2
imatest_noise0.9_blur1.0.png,2022-06-20 23:44:13,1 Y,Horiz (V-edge), 1.67,  NaN, 12.4,-20.5,0.2276,0.2271,0.3782,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.51,MTF30,0.53785,,,, ,  5.419, 0.4758, 0.7538, 21.0
imatest_noise1.0_blur1.0.png,2022-06-20 23:44:14,1 Y,Horiz (V-edge), 1.66,  NaN, 22.5,-12.5,0.1852,0.1852,0.6747,,, , ,6.7% left of ctr, ,,0.500,  NaN, 0.18,MTF30,0.35023,,,, ,  4.816, 0.0000, 0.4944, 20.3
imatest_noise0.0_blur1.5.png,2022-06-20 23:44:14,1 Y,Horiz (V-edge), 3.94,  NaN,  0.0,-22.9,0.1295,0.1295,0.0108,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.00,MTF30,0.17202,,,, ,  4.218, 0.3882, 0.7294, -0.0
imatest_noise0.1_blur1.5.png,2022-06-20 23:44:15,1 Y,Horiz (V-edge), 3.92,  NaN,  1.0,-23.3,0.1285,0.1285,0.0524,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.02,MTF30,0.17191,,,, ,  4.430, 0.3924, 0.7302,  0.4
imatest_noise0.2_blur1.5.png,2022-06-20 23:44:15,1 Y,Horiz (V-edge), 4.03,  NaN,  3.4,-23.3,0.1262,0.1262,0.0650,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.02,MTF30,0.17267,,,, ,  5.413, 0.3986, 0.7317,  1.2
imatest_noise0.3_blur1.5.png,2022-06-20 23:44:16,1 Y,Horiz (V-edge), 3.75,  NaN,  4.2,-23.0,0.1300,0.1300,0.1508,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.05,MTF30,0.17576,,,, ,  5.208, 0.4030, 0.7343,  2.6
imatest_noise0.4_blur1.5.png,2022-06-20 23:44:17,1 Y,Horiz (V-edge), 3.67,  NaN,  5.1,-24.8,0.1348,0.1348,0.1139,,, , ,6.8% left of ctr, ,,0.500,  NaN, 0.10,MTF30,0.17976,,,, ,  4.430, 0.4159, 0.7376,  8.3
